country_name;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;iso2
Australia;18606562977.1;19682883149.3;19922563187.6;21539843446.4;23801123808.2;25976164156.2;27307844369.3;30442724870.8;32714085234.3;36683365869.3;41333606613.4;45216647234.7;52040887850.5;63830877642.5;88963890935.9;97303017888.8;105059356494.4;110349850883.2;118491633469.7;134898330114.7;149985515320.3;176893068617.2;194038397881.5;177265418961.9;193518998163.4;180637129503.8;182475517627.3;189487162519.9;236154038684.3;299871835376.0;311420509067.6;325966686052.6;325518458076.5;312128302417.1;322802490487.7;368166023166.0;401341880620.7;435642611296.6;399674421759.5;389652212056.6;416167815092.9;379629301675.1;395788696012.1;467739079790.3;614659980082.5;695692898676.6;748417562769.6;855007458585.2;1056112427190.4;928762122698.1;1148890200292.4;1398701323029.6;1547649835732.9;1577301840200.0;1468597690006.2;1351768945139.1;1207580901578.7;1326882104817.0;1429733668185.9;1394671325960.6;1330381544909.3;1559033756285.1;1692956646855.7;AU
Austria;6592693841.2;7311749633.4;7756110210.1;8374175257.7;9169983885.7;9994070615.9;10887682273.1;11579431668.9;12440625312.9;13582798556.2;15373005557.0;17858486066.7;22059612476.9;29515467706.8;35189299911.7;40059206763.1;42959976221.5;51545758887.7;62052259073.2;73937296963.5;82058912997.2;71034228443.1;71275287569.6;72121016546.7;67985344886.9;69386774408.1;99036164939.2;124168442533.7;133339397080.1;133105805512.2;166463386179.4;173794177961.1;195078126721.8;190379720809.2;203535242741.8;241038283062.6;237250948791.3;212790348404.6;218259904402.0;217259147050.0;197289625479.9;197508773215.3;214394866675.2;262273631180.1;301457562038.5;316092273276.0;336280064332.4;389185571506.1;432051935642.9;401758735822.2;392275107258.7;431685217367.5;409401816050.5;430190979706.0;442584815286.0;381971148530.5;395837353031.5;417261151845.0;454991174096.1;444596155845.3;435049316955.7;479295362747.0;470941926750.7;AT
Azerbaijan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8884848484.8;5344000000.0;444658671.6;1570392598.1;1193141110.4;2417331193.0;3176507376.3;3962362387.5;4446368570.7;4581248566.5;5272615723.0;5707616203.7;6236087738.3;7276413079.1;8680405740.9;13245421880.8;20981929497.6;33049419431.2;48851293785.4;44292427184.9;52909294791.9;65952796427.9;69679944504.2;74160560123.7;75239785452.1;53076235354.7;37866996882.9;40866627352.0;47112470051.8;48174235294.1;42693000000.0;54825411764.7;78721058823.5;AZ
Bahamas, The;169803921.6;190098039.2;212254902.0;237745098.0;266666666.7;300392156.9;340000000.0;390196078.4;444901960.8;528137254.9;538423153.7;573400000.0;590900000.0;670900000.0;632400000.0;596200000.0;642100000.0;713000000.0;832400000.0;1139800100.0;1335300000.0;1426500000.0;1578300000.0;1732800000.0;2041100000.0;2320699900.0;2472500000.0;2713999900.0;2817900000.0;3062000000.0;3166000000.0;3111160000.0;3109000000.0;3092000000.0;3259000000.0;3429000000.0;3609000000.0;6332360000.0;6833220000.0;7683870000.0;8076470000.0;8317830000.0;8881160000.0;8870090000.0;9055290000.0;9836200000.0;10167250000.0;10618340000.0;10526000000.0;9981960000.0;10095760000.0;10070450000.0;10720400000.0;10395500000.0;10974800000.0;11672900000.0;11750800000.0;12253500000.0;12653600000.0;13058700000.0;9754600000.0;11527600000.0;12897400000.0;
Bahrain;;;;;;;;;;;;;;;;;;;;;3072698328.5;3467819148.9;3645744680.9;3735106383.0;3905585106.4;3651861702.1;3052393617.0;3392021010.6;3702393617.0;3863563829.8;4229787234.0;4616223404.3;4751063829.8;5200265957.4;5567553457.4;5849467819.1;6101861436.2;6349202393.6;6183776595.7;6621010372.3;9062898936.2;8976196808.5;9593510638.3;11074813829.8;13150159574.5;15968723404.3;18504760638.3;21730000000.0;25710904255.3;22938218085.1;25713271276.6;28776595744.7;30749308510.6;32539468085.1;33387712766.0;31050638297.9;32234973404.3;35473776595.7;37802005319.1;38653318085.1;34621807712.8;39288670212.8;44383297872.3;BH
Bangladesh;4274894083.3;4817580375.0;5081413541.7;5319458562.5;5386054833.3;5906636791.7;6439687854.2;7253575687.5;7483685770.8;8471006437.5;8992722166.7;8751843187.5;6288245866.7;8086725729.3;12512460519.7;19448348073.5;10117113333.3;9651149301.9;13281767142.9;15565480321.9;18138049095.6;20249694002.4;18525399201.6;17609048821.5;18920840000.0;22278423076.9;21774033333.3;24298032258.1;26579005558.4;28781715188.9;31598340778.2;30957483949.6;31708874594.2;33166519418.0;33768660882.8;37939748768.7;46438484107.6;48244309133.5;49984559471.4;51270569883.5;53369787318.6;53991289844.3;54724081490.5;60158929188.3;65108544250.0;69442943089.4;71819083683.7;79611888213.1;91631278239.3;102477779556.8;115279077465.2;128637983882.8;133355820262.9;149990529836.8;172885432686.9;195078573252.2;265236390328.6;293754781336.0;321379127909.4;351238399005.5;373902197869.2;416264800549.0;460201265528.0;BD
Barbados;;;;;;;;;;;;;;;311809337.5;402178605.0;435911268.6;495097667.9;552883707.1;670362452.1;1012280614.5;1114204743.2;1163923830.4;1236016506.7;1346890071.1;1409536120.9;1547755183.2;1704370307.8;1812757917.8;2006165166.8;2012131457.3;2020583702.1;1957000000.0;2063342117.0;2151344901.3;2216974096.4;2363645403.5;2498384129.7;2817083478.3;2951822204.5;3059500000.0;3054500000.0;3106500000.0;3209500000.0;3444500000.0;3819500000.0;4217450000.0;4674000000.0;4785250000.0;4465500000.0;4531150000.0;4656400000.0;4613850000.0;4685550000.0;4707600000.0;4734000000.0;4843300000.0;4992300000.0;5110250000.0;5341100000.0;4738800000.0;4923100000.0;5699950000.0;BB
Belarus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9200000000.0;16416666666.7;14952100840.3;13970425776.8;14756846153.8;14130585516.2;15221352698.9;12138243080.6;12736780455.2;12354820143.9;14594900944.8;17825444724.5;23141566292.9;30210091836.8;36961894281.3;45275711995.8;60752106347.1;50873167326.0;57231904542.9;61762382327.9;65685890438.9;75527558966.4;78812805039.1;56454889146.6;47723545321.3;54725302249.8;60031173807.7;64410122847.4;61371755326.2;69673747131.9;72793457588.4;BY
Belgium;11658722591.0;12400145221.6;13264015675.3;14260017387.0;15960106680.7;17371457607.9;18651883472.5;19992040788.5;21376353113.5;23710735894.7;26706196046.8;29821661869.9;37209418018.5;47743801490.4;56033077879.0;65678189097.3;71113882967.6;82839905458.6;101246526194.4;116315456796.9;126829314388.2;104730018470.2;92095926187.5;87184239053.3;83349530159.2;86268264148.4;120018787249.4;149394404105.9;162299103675.3;164221056511.1;205331747947.9;210510999409.3;234781652446.7;224721795709.0;244884129491.2;288025588396.3;279201433224.8;252708051420.8;258528339631.0;258245733221.5;236792460312.5;236746141604.4;258383599375.2;318082528506.6;369214712443.2;385714762230.0;408259840868.8;470922156309.5;517328087920.1;483254171097.8;481420882905.0;523330354138.1;496152879924.7;521791015247.1;535390200131.0;462335574841.5;476062757356.9;502764720556.4;543299066998.9;535865804349.8;526264230147.4;600748812601.5;583435595580.0;BE
Belize;28072478.1;29965000.0;31857591.9;33750113.8;36194586.2;40110040.1;44450044.5;47431255.7;44999910.0;47399905.2;53339893.3;59074687.2;65998069.4;78214767.8;103160450.4;118194026.3;97094227.2;117650000.0;136300000.0;151800000.0;197938222.4;196089854.7;182206327.0;192103186.0;214381949.0;212643742.7;231638320.5;281082558.6;320093360.3;369133890.7;545686365.5;594975697.0;693625168.2;750018765.3;769649509.5;816491620.2;848205276.9;870861115.2;926550756.0;996906468.7;1134756760.6;1168127973.9;1240059540.1;1303381860.8;1394273990.6;1468145956.2;1584207353.2;1699214298.9;1731921564.1;1681473348.4;1739070295.4;1818831938.2;1899503249.9;2021757434.2;2125125606.3;2194709309.2;2240593543.0;2266664817.1;2292787335.6;2386792476.1;2047727810.1;2424575179.4;2830507575.7;BZ
