Athlete,Nat,Gold,Silver,Bronze,Total
Mariya Gorokhovskaya,URS UKR,2,5,0,7
Arianna Fontana,ITA,2,4,5,11
Uschi Disl,GER,2,4,3,9
Eugen Mack,SUI,2,4,2,8
Susie O'Neill,AUS,2,4,2,8
Svetlana Khorkina,RUS,2,4,1,7
Zoltán Halmay,HUN,2,4,1,7
Amanda Beard,USA,2,4,1,7
Kirsty Coventry,ZIM,2,4,1,7
Miho Takagi,JPN,2,4,1,7
J. Michael Plumb,USA,2,4,0,6
Stefania Belmondo,ITA,2,3,5,10
Tiril Eckhoff,NOR,2,3,3,8
Ildikó Rejtő-Ujlaky-Sági,HUN,2,3,2,7
Karin Janz,GDR,2,3,2,7
Rita Kőbán,HUN,2,3,1,6
Burton Downing,USA,2,3,1,6
Géo Buchard,FRA,2,3,1,6
Tamara Manina,RUS URS,2,3,1,6
Li Xiaoshuang,CHN,2,3,1,6
Shuji Tsurumi,JPN,2,3,1,6
Veronica Cogeanu-Cochela,ROU,2,3,1,6
Wang Yifu,CHN,2,3,1,6
Albert Helgerud,NOR,2,3,1,6
Michael Klim,AUS,2,3,1,6
Sergey Chepikov,RUS URS EUN,2,3,1,6
Wolfgang Hoppe,GDR GER,2,3,1,6
Claudia Künzel-Nystad,GER,2,3,1,6
Lee Seung-Hun,KOR,2,3,1,6
Earl Thomson,USA,2,3,0,5
Eric Carlberg,SWE,2,3,0,5
Irv Baxter,USA,2,3,0,5
Harald Grønningen,NOR,2,3,0,5
Frank Luck,GDR GER,2,3,0,5
Pål Tyldum,NOR,2,3,0,5
Evi Sachenbacher-Stehle,GER,2,3,0,5
Wang Hao,CHN,2,3,0,5
Sofya Velikaya,ROC RUS,2,3,0,5
Brittany Elmslie,AUS,2,3,0,5
James Guy,GBR,2,3,0,5
Quentin Fillon Maillet,FRA,2,3,0,5
Margit Korondi,HUN,2,2,4,8
Sofya Muratova,RUS URS,2,2,4,8
Dmitry Sautin,RUS EUN,2,2,4,8
Apolo Anton Ohno,USA,2,2,4,8
Shannon Miller,USA,2,2,3,7
Pavel Lednyov,RUS URS,2,2,3,7
Manuela Di Centa,ITA,2,2,3,7
Aliya Mustafina,RUS,2,2,3,7
Josef Neckermann,GER FRG,2,2,2,6
Philippe Riboud,FRA,2,2,2,6
Bob Garrett,USA,2,2,2,6
Eugenio Monti,ITA,2,2,2,6
Michal Martikán,SVK,2,2,1,5
Liselott Linsenhoff,GER FRG,2,2,1,5
André Jousseaumé,FRA,2,2,1,5
Paul Anspach,BEL,2,2,1,5
Alexandre Lippmann,FRA,2,2,1,5
Manlio Di Rosa,ITA,2,2,1,5
Lou Yun,CHN,2,2,1,5
Ryoko Tamura-Tani,JPN,2,2,1,5
Lars Jørgen Madsen,DEN,2,2,1,5
Hübner von Holst,SWE,2,2,1,5
Ines Diers,GDR,2,2,1,5
Robert Scheidt,BRA,2,2,1,5
Walter Tewksbury,USA,2,2,1,5
Christa Rothenburger-Luding,GDR GER,2,2,1,5
Knut Johannesen,NOR,2,2,1,5
Yang Yang (A),CHN,2,2,1,5
François-Louis Tremblay,CAN,2,2,1,5
Mel Schlanger,AUS,2,2,1,5
Saúl Craviotto,ESP,2,2,1,5
Martin Johnsrud Sundby,NOR,2,2,1,5
Wu Dajing,CHN,2,2,1,5
Lilly King,USA,2,2,1,5
Simone Manuel,USA,2,2,1,5
Louis Van De Perck,BEL,2,2,0,4
Pedro Luis Lazo,CUB,2,2,0,4
Zsolt Gyulay,HUN,2,2,0,4
Harry Boldt,GER FRG,2,2,0,4
Bruce Davidson,USA,2,2,0,4
Pierre Jonquères d'Oriola,FRA,2,2,0,4
Jens Lehmann,GER,2,2,0,4
Joan Llaneras,ESP,2,2,0,4
Teun de Nooijer,NED,2,2,0,4
André Labatut,FRA,2,2,0,4
Alexander Pusch,FRG,2,2,0,4
Bence Szabó,HUN,2,2,0,4
Alberto Pellegrino,ITA,2,2,0,4
Mikhail Burtsev,RUS URS,2,2,0,4
Mark Rakita,RUS URS,2,2,0,4
Yury Sisikin,RUS URS,2,2,0,4
Nina Bocharova,URS UKR,2,2,0,4
István Pelle,HUN,2,2,0,4
Nobuyuki Aihara,JPN,2,2,0,4
Valery Lyukin,KAZ URS,2,2,0,4
Hrant Shahinyan,ARM URS,2,2,0,4
Igor Novikov,ARM URS,2,2,0,4
Lorraine Crapp,AUS,2,2,0,4
Kieren Perkins,AUS,2,2,0,4
Sergey Koplyakov,BLR URS,2,2,0,4
Sue Pedersen,USA,2,2,0,4
Ford Konno,USA,2,2,0,4
Inna Ryskal,AZE URS,2,2,0,4
Rudolf Svensson,SWE,2,2,0,4
Seb Coe,GBR,2,2,0,4
Marlies Oelsner-Göhr,GDR,2,2,0,4
Annegret Richter,FRG,2,2,0,4
Arthur Wint,JAM,2,2,0,4
Kip Keino,KEN,2,2,0,4
Charley Paddock,USA,2,2,0,4
Toini Gustafsson,SWE,2,2,0,4
Hallgeir Brenden,NOR,2,2,0,4
Fred Børre Lundberg,NOR,2,2,0,4
Frode Estil,NOR,2,2,0,4
Choi Eun-Gyeong,KOR,2,2,0,4
Tina Maze,SLO,2,2,0,4
Yevgeny Plyushchenko,RUS,2,2,0,4
McLain Ward,USA,2,2,0,4
Serginho,BRA,2,2,0,4
Shani Davis,USA,2,2,0,4
Tora Berger,NOR,2,2,0,4
Cullen Jones,USA,2,2,0,4
Inna Deriglazova,ROC RUS,2,2,0,4
Yohan Blake,JAM,2,2,0,4
Andreas Wellinger,GER,2,2,0,4
Zhang Yufei,CHN,2,2,0,4
Vitalina Batsarashkina,ROC RUS,2,2,0,4
Heikki Savolainen,FIN,2,1,6,9
Mark Todd,NZL,2,1,3,6
Lavinia Miloșovici,ROU,2,1,3,6
Daniela Hunger,GDR GER,2,1,3,6
Armin Zöggeler,ITA,2,1,3,6
Anna Meares,AUS,2,1,3,6
Johan Olsson,SWE,2,1,3,6
Laura Flessel-Colovic,FRA,2,1,2,5
Jean-François Lamour,FRA,2,1,2,5
Albertson Van Zo Post,USA,2,1,2,5
Koji Gushiken,JPN,2,1,2,5
Katsiaryna Khadatovich-Karsten,BLR EUN,2,1,2,5
Marina Dobrancheva-Logvinenko,RUS URS EUN,2,1,2,5
Larry Nuesslein,USA,2,1,2,5
Torben Grael,BRA,2,1,2,5
Heike Drechsler,GDR GER,2,1,2,5
Valery Borzov,URS UKR,2,1,2,5
Ronny Rauhe,GER,2,1,2,5
Klete Keller,USA,2,1,2,5
Justyna Kowalczyk,POL,2,1,2,5
Qin Kai,CHN,2,1,2,5
Lasse Norman Hansen,DEN,2,1,2,5
Qiao Hong,CHN,2,1,1,4
Liu Guoliang,CHN,2,1,1,4
Bernd Olbricht,GDR,2,1,1,4
Matija Ljubek,CRO YUG,2,1,1,4
"Gustaf Adolf Boltenstern, Jr.",SWE,2,1,1,4
Ivan Kizimov,RUS URS,2,1,1,4
Alwin Schockemöhle,GER FRG,2,1,1,4
Anja Fichtel-Mauritz,GER FRG,2,1,1,4
Zita Funkenhauser,GER FRG,2,1,1,4
Éric Srecki,FRA,2,1,1,4
Ödön Tersztyánszky,HUN,2,1,1,4
Marcello Bertinetti,ITA,2,1,1,4
Witold Woyda,POL,2,1,1,4
Sergey Sharikov,RUS,2,1,1,4
Tatyana Gutsu,UKR EUN,2,1,1,4
Yelena Shushunova,RUS URS,2,1,1,4
Hermann Hänggi,SUI,2,1,1,4
Mike McKay,AUS,2,1,1,4
Olaf Tufte,NOR,2,1,1,4
Olga Homeghi-Bularda,ROU,2,1,1,4
Rodica Arba-Pușcatu,ROU,2,1,1,4
Paul Colas,FRA,2,1,1,4
John Devitt,AUS,2,1,1,4
Mike Wenden,AUS,2,1,1,4
Tian Liang,CHN,2,1,1,4
Eleanor Garatti-Saville,USA,2,1,1,4
Jan Henne,USA,2,1,1,4
Dorothy Poynton-Hill,USA,2,1,1,4
Summer Sanders,USA,2,1,1,4
Mary Wayte,USA,2,1,1,4
Dave Berkoff,USA,2,1,1,4
Jerry Heidenreich,USA,2,1,1,4
László Jeney,HUN,2,1,1,4
Bruce Baumgartner,USA,2,1,1,4
Volmari Iso-Hollo,FIN,2,1,1,4
Vladimir Golubnichy,URS UKR,2,1,1,4
Cathy Turner,USA,2,1,1,4
Hanni Wenzel,LIE,2,1,1,4
Donat Acklin,SUI,2,1,1,4
Jan Behrendt,GDR GER,2,1,1,4
Gaétan Boucher,CAN,2,1,1,4
Stefan Krauße,GDR GER,2,1,1,4
Igor Kravchuk,RUS URS EUN,2,1,1,4
Maurice Greene,USA,2,1,1,4
Gao Ling,CHN,2,1,1,4
Eirik Verås Larsen,NOR,2,1,1,4
Ulla Salzgeber,GER,2,1,1,4
Yelena Zamolodchikova,RUS,2,1,1,4
Neil Walker,USA,2,1,1,4
Vyacheslav Vedenin,RUS URS,2,1,1,4
Bjarte Engen Vik,NOR,2,1,1,4
Gustav Weder,SUI,2,1,1,4
Markus Zimmermann,GER,2,1,1,4
Hermann Maier,AUT,2,1,1,4
Katrin Apel,GER,2,1,1,4
Éric Bédard,CAN,2,1,1,4
Andrea Henkel,GER,2,1,1,4
Valerie Adams-Vili,NZL,2,1,1,4
Du Li,CHN,2,1,1,4
Eliud Kipchoge,KEN,2,1,1,4
Beezie Madden,USA,2,1,1,4
Aksel Lund Svindal,NOR,2,1,1,4
Alain Bernard,FRA,2,1,1,4
Petter Northug,NOR,2,1,1,4
Johannes Rydzek,GER,2,1,1,4
Sim Seok-Hui,KOR,2,1,1,4
Nikita Katsalapov,ROC RUS,2,1,1,4
Madi Wilson,AUS,2,1,1,4
Maya DiRado,USA,2,1,1,4
Yevgeny Rylov,ROC RUS,2,1,1,4
Simen Hegstad Krüger,NOR,2,1,1,4
Ariarne Titmus,AUS,2,1,1,4
Alphonse Allaert,BEL,2,1,0,3
Victor De Knibber,BEL,2,1,0,3
Jérôme De Mayer,BEL,2,1,0,3
Louis Delcon,BEL,2,1,0,3
Louis Fierens,BEL,2,1,0,3
Louis Van Beeck,BEL,2,1,0,3
Pierre Van Tilt,BEL,2,1,0,3
Omar Ajete,CUB,2,1,0,3
Orestes Kindelán,CUB,2,1,0,3
Omar Linares,CUB,2,1,0,3
Antonio Pacheco,CUB,2,1,0,3
Eduardo Paret,CUB,2,1,0,3
Antonio Scull,CUB,2,1,0,3
Luis Ulacia,CUB,2,1,0,3
Jang Yong-Ho,KOR,2,1,0,3
Darrell Pace,USA,2,1,0,3
Kong Linghui,CHN,2,1,0,3
Vinnie Richards,USA,2,1,0,3
Kurt Wires,FIN,2,1,0,3
Toma Simionov,ROU,2,1,0,3
Jan Brzák-Felix,CZE TCH,2,1,0,3
Victor Reneischi,MDA URS,2,1,0,3
Aleksandr Shaparenko,URS UKR,2,1,0,3
Nicolae Juravschi,MDA ROU URS,2,1,0,3
Gerard de Kruijff,NED,2,1,0,3
Joe Fargis,USA,2,1,0,3
Åge Lundström,SWE,2,1,0,3
Sergio Bianchetto,ITA,2,1,0,3
Henry Hansen,DEN,2,1,0,3
Ben Jones,GBR,2,1,0,3
Guy Lapébie,FRA,2,1,0,3
Frederick Humphreys,GBR,2,1,0,3
Edwin Mills,GBR,2,1,0,3
James Shepherd,GBR,2,1,0,3
Shankar Laxman,IND,2,1,0,3
Jeroen Delmeé,NED,2,1,0,3
Erik Jazet,NED,2,1,0,3
Guus Vogels,NED,2,1,0,3
Ilona Elek-Schacherer,HUN,2,1,0,3
Francesca Bortolozzi-Borella,ITA,2,1,0,3
Philippe Boisse,FRA,2,1,0,3
René Bougnol,FRA,2,1,0,3
Jacques Lataste,FRA,2,1,0,3
Elmar Borrmann,GER FRG,2,1,0,3
Arnd Schmitt,GER FRG,2,1,0,3
Attila Petschauer,HUN,2,1,0,3
Gioacchino Guaragna,ITA,2,1,0,3
Abelardo Olivier,ITA,2,1,0,3
German Sveshnikov,RUS URS,2,1,0,3
Eduard Vinokurov,RUS URS,2,1,0,3
Brandi Chastain,USA,2,1,0,3
Joy Fawcett,USA,2,1,0,3
Julie Foudy,USA,2,1,0,3
Mia Hamm,USA,2,1,0,3
Kristine Lilly,USA,2,1,0,3
Cindy Parlow,USA,2,1,0,3
Liliya Podkopaieva,UKR,2,1,0,3
Yelena Davydova,CAN RUS URS,2,1,0,3
Yekaterina Kalinchuk,RUS URS,2,1,0,3
Julius Lenhart,AUT USA,2,1,0,3
Aleksandr Tkachov,RUS URS,2,1,0,3
Peter Vidmar,USA,2,1,0,3
Daniele Masala,ITA,2,1,0,3
Lars Hall,SWE,2,1,0,3
Anatoly Starostin,RUS URS EUN,2,1,0,3
Jessica Monroe,CAN,2,1,0,3
Carmine Abbagnale,ITA,2,1,0,3
Giuseppe Abbagnale,ITA,2,1,0,3
Giuseppe Di Capua,ITA,2,1,0,3
Yury Tyukalov,RUS URS,2,1,0,3
Pentti Linnosvuo,FIN,2,1,0,3
William Pimm,GBR,2,1,0,3
Emil Kellenberger,SUI,2,1,0,3
Åke Lundeberg,SWE,2,1,0,3
Lones Wigger,USA,2,1,0,3
Walter Winans,USA,2,1,0,3
David Theile,AUS,2,1,0,3
Carolyn Waldo,CAN,2,1,0,3
Heike Friedrich,GDR,2,1,0,3
Alfréd Hajós,HUN,2,1,0,3
Masanori Yusa,JPN,2,1,0,3
Danyon Loader,NZL,2,1,0,3
Denis Pankratov,RUS EUN,2,1,0,3
Erik Adlerz,SWE,2,1,0,3
Crissy Ahmann-Leighton,USA,2,1,0,3
Betty Becker-Pinkston,USA,2,1,0,3
Ann Curtis,USA,2,1,0,3
Jenna Johnson,USA,2,1,0,3
Claudia Kolb,USA,2,1,0,3
Tracie Ruiz-Conforto,USA,2,1,0,3
Pete Desjardins,USA,2,1,0,3
Tom Dolan,USA,2,1,0,3
Chris Jacobs,USA,2,1,0,3
Ken Walsh,USA,2,1,0,3
Lyudmila Buldakova,RUS URS,2,1,0,3
Nina Smoleyeva,KAZ URS,2,1,0,3
Perica Bukić,CRO YUG,2,1,0,3
Olivér Halassy,HUN,2,1,0,3
Márton Homonnai,HUN,2,1,0,3
"István Szívós, Sr.",EGY HUN,2,1,0,3
Aleksey Barkalov,URS UKR,2,1,0,3
Louis Hostin,FRA,2,1,0,3
Yoshinobu Miyake,JPN,2,1,0,3
Tommy Kono,USA,2,1,0,3
Kustaa Pihlajamäki,FIN,2,1,0,3
Vincenzo Maenza,ITA,2,1,0,3
Makharbek Khadartsev,RUS URS EUN UZB,2,1,0,3
Magnus Konow,NOR,2,1,0,3
Rodney Pattisson,GBR,2,1,0,3
Mark Reynolds,USA,2,1,0,3
Pauline Davis-Thompson,BAH,2,1,0,3
Armas Taipale,FIN,2,1,0,3
Charles Bennett,GBR,2,1,0,3
Albert Hill,GBR,2,1,0,3
Heide Rosendahl,FRG,2,1,0,3
Hicham El Guerrouj,MAR,2,1,0,3
Yury Sedykh,URS,2,1,0,3
Alice Brown,USA,2,1,0,3
Chandra Cheeseborough,USA,2,1,0,3
Babe Didrikson,USA,2,1,0,3
Jearl Miles-Clark,USA,2,1,0,3
Betty Robinson,USA,2,1,0,3
Morris Kirksey,USA,2,1,0,3
Mike Marsh,USA,2,1,0,3
Pat McDonald,USA,2,1,0,3
Parry O'Brien,USA,2,1,0,3
Jackson Scholz,USA,2,1,0,3
Andy Stanfield,USA,2,1,0,3
Trude Jochum-Beiser,AUT,2,1,0,3
Olga Danilova,RUS EUN,2,1,0,3
Marielle Goitschel,FRA,2,1,0,3
Rosi Mittermaier,FRG,2,1,0,3
Kristina Šmigun-Vähi,EST,2,1,0,3
Tamara Tikhonova,RUS URS,2,1,0,3
Pernilla Wiberg,SWE,2,1,0,3
Artur Dmitriyev,RUS EUN,2,1,0,3
Vyacheslav Fetisov,RUS URS,2,1,0,3
Heikki Hasu,FIN,2,1,0,3
Paul Hildgartner,ITA,2,1,0,3
Aleksey Kasatonov,RUS URS,2,1,0,3
Valery Kharlamov,RUS URS,2,1,0,3
Takanori Kono,JPN,2,1,0,3
Vladimir Krutov,RUS URS,2,1,0,3
Thomas Köhler,GDR GER,2,1,0,3
Gábor Horváth,HUN,2,1,0,3
Ingrid Klimke,GER,2,1,0,3
Julien Pillet,FRA,2,1,0,3
Kate Sobrero-Markgraf,USA,2,1,0,3
Gervasio Deferr,ESP,2,1,0,3
Sergey Makarov,RUS URS,2,1,0,3
Aleksandr Maltsev,RUS URS,2,1,0,3
Iain Percy,GBR,2,1,0,3
Crystl Bustos,USA,2,1,0,3
Stacey Nuveman,USA,2,1,0,3
Todd Pearson,AUS,2,1,0,3
Lindsay Benko,USA,2,1,0,3
Megan Quann-Jendrick,USA,2,1,0,3
Ioana Olteanu,ROU,2,1,0,3
Uwe-Jens Mey,GDR GER,2,1,0,3
Boris Mikhaylov,RUS URS,2,1,0,3
Vladimir Petrov,RUS URS,2,1,0,3
Birger Ruud,NOR,2,1,0,3
Frank-Peter Roetsch,GDR GER,2,1,0,3
Dietmar Schauerhammer,GDR,2,1,0,3
Magnar Solberg,NOR,2,1,0,3
Sergey Starikov,RUS URS,2,1,0,3
Valery Vasilyev,RUS URS,2,1,0,3
Andrus Veerpalu,EST,2,1,0,3
Gianni Romme,NED,2,1,0,3
Michaela Dorfmeister,AUT,2,1,0,3
Kazuyoshi Funaki,JPN,2,1,0,3
Giorgio Di Centa,ITA,2,1,0,3
Cassie Campbell,CAN,2,1,0,3
Danielle Goyette,CAN,2,1,0,3
Vicky Sunohara,CAN,2,1,0,3
Jochem Uytdehaage,NED,2,1,0,3
Olga Zaytseva,RUS,2,1,0,3
Andreas Linger,AUT,2,1,0,3
Wolfgang Linger,AUT,2,1,0,3
Lee Seong-Jin,KOR,2,1,0,3
Marco Galiazzo,ITA,2,1,0,3
Park Gyeong-Mo,KOR,2,1,0,3
Fabian Cancellara,SUI,2,1,0,3
Caryn Davies,USA,2,1,0,3
Mary Whipple,USA,2,1,0,3
Meseret Defar,ETH,2,1,0,3
Fu Haifeng,CHN,2,1,0,3
Fabrice Jeannet,FRA,2,1,0,3
Vicki Pendleton,GBR,2,1,0,3
Daniel Narcisse,FRA,2,1,0,3
Thierry Omeyer,FRA,2,1,0,3
Andreas Kofler,AUT,2,1,0,3
Lee Sang-Hwa,KOR,2,1,0,3
Lindsey Jacobellis,USA,2,1,0,3
Maartje Paumen,NED,2,1,0,3
Naomi van As,NED,2,1,0,3
Ellen Hoog,NED,2,1,0,3
Kami Craig,USA,2,1,0,3
Kerron Clement,USA,2,1,0,3
Ricky Berens,USA,2,1,0,3
Andy Murray,GBR,2,1,0,3
He Kexin,CHN,2,1,0,3
Marcel Hirscher,AUT,2,1,0,3
Magdalena Neuner,GER,2,1,0,3
Haley Irwin,CAN,2,1,0,3
Meaghan Mikkelson,CAN,2,1,0,3
Shannon Szabados,CAN,2,1,0,3
Lee Jeong-Su,KOR,2,1,0,3
Anastasiya Bliznyuk,ROC RUS,2,1,0,3
Martin Sinković,CRO,2,1,0,3
Valent Sinković,CRO,2,1,0,3
Lu Xiaojun,CHN,2,1,0,3
Hannah Mills,GBR,2,1,0,3
Elisa Di Francisca,ITA,2,1,0,3
Mathew Belcher,AUS,2,1,0,3
Margot van Geffen,NED,2,1,0,3
Caia van Maasakker,NED,2,1,0,3
Mariana Pajón,COL,2,1,0,3
Dorothee Schneider,GER,2,1,0,3
Yannick Agnel,FRA,2,1,0,3
Mélodie Daoust,CAN,2,1,0,3
Brianne Jenner,CAN,2,1,0,3
Jocelyne Larocque,CAN,2,1,0,3
Natalie Spooner,CAN,2,1,0,3
Nana Takagi,JPN,2,1,0,3
Kim A-Rang,KOR,2,1,0,3
Ingvild Flugstad Østberg,NOR,2,1,0,3
Mikaela Shiffrin,USA,2,1,0,3
David Wise,USA,2,1,0,3
Jamie Anderson,USA,2,1,0,3
Clarisse Agbegnenou,FRA,2,1,0,3
Katie Archibald,GBR,2,1,0,3
Tamara Csipes,HUN,2,1,0,3
Dalilah Muhammad,USA,2,1,0,3
Chen Aisen,CHN,2,1,0,3
Xu Xin,CHN,2,1,0,3
Shohei Ono,JPN,2,1,0,3
Ren Ziwei,CHN,2,1,0,3
Vinzenz Geiger,GER,2,1,0,3
Hanna Öberg,SWE,2,1,0,3
Eileen Gu,CHN,2,1,0,3
Daiki Hashimoto,JPN,2,1,0,3
Johannes Strolz,AUT,2,1,0,3
