Place,Pays,Or,Argent,Bronze,Total,Lieu,Annee
44,Inde,0,0,1,1,Munich,1972
44,Jamaïque,0,0,1,1,Munich,1972
44,Moldavie,0,0,1,1,Munich,1972
44,Niger,0,0,1,1,Munich,1972
44,Nigéria,0,0,1,1,Munich,1972
1,Etats Unis,45,28,34,107,Mexico,1968
2,U.R.S.S.,29,32,30,91,Mexico,1968
3,Japon,11,7,7,25,Mexico,1968
4,Hongrie,10,10,12,32,Mexico,1968
5,Allemagne de l'Est,9,9,7,25,Mexico,1968
6,France,7,3,5,15,Mexico,1968
7,Tchécoslovaquie,7,2,4,13,Mexico,1968
8,Allemagne de l'Ouest,5,11,10,26,Mexico,1968
9,Australie,5,7,5,17,Mexico,1968
10,Grande Bretagne,5,5,3,13,Mexico,1968
11,Pologne,5,2,11,18,Mexico,1968
12,Roumanie,4,6,5,15,Mexico,1968
13,Italie,3,4,9,16,Mexico,1968
14,Kenya,3,4,2,9,Mexico,1968
15,Mexique,3,3,3,9,Mexico,1968
16,Yougoslavie,3,3,2,8,Mexico,1968
17,Pays-Bas,3,3,1,7,Mexico,1968
18,Bulgarie,2,4,3,9,Mexico,1968
19,Iran,2,1,2,5,Mexico,1968
20,Suède,2,1,1,4,Mexico,1968
21,Turquie,2,0,0,2,Mexico,1968
22,Danemark,1,4,3,8,Mexico,1968
23,Canada,1,3,1,5,Mexico,1968
24,Finlande,1,2,1,4,Mexico,1968
25,Ethiopie,1,1,0,2,Mexico,1968
25,Norvège,1,1,0,2,Mexico,1968
27,Nouvelle-Zélande,1,0,2,3,Mexico,1968
28,Tunisie,1,0,1,2,Mexico,1968
29,Pakistan,1,0,0,1,Mexico,1968
29,Venezuela,1,0,0,1,Mexico,1968
31,Cuba,0,4,0,4,Mexico,1968
32,Autriche,0,2,2,4,Mexico,1968
33,Suisse,0,1,4,5,Mexico,1968
34,Mongolie,0,1,3,4,Mexico,1968
35,Brésil,0,1,2,3,Mexico,1968
36,Belgique,0,1,1,2,Mexico,1968
36,Corée du Sud,0,1,1,2,Mexico,1968
36,Ouganda,0,1,1,2,Mexico,1968
39,Cameroun,0,1,0,1,Mexico,1968
39,Jamaïque,0,1,0,1,Mexico,1968
41,Argentine,0,0,2,2,Mexico,1968
42,Grèce,0,0,1,1,Mexico,1968
42,Inde,0,0,1,1,Mexico,1968
42,Taïwan,0,0,1,1,Mexico,1968
1,Etats Unis,36,26,28,90,Tokyo,1964
2,U.R.S.S.,31,31,36,98,Tokyo,1964
3,Japon,16,5,8,29,Tokyo,1964
4,Allemagne,10,22,18,50,Tokyo,1964
5,Italie,10,10,7,27,Tokyo,1964
6,Hongrie,10,7,5,22,Tokyo,1964
7,Pologne,6,6,10,22,Tokyo,1964
8,Australie,6,2,10,18,Tokyo,1964
9,Tchécoslovaquie,5,6,3,14,Tokyo,1964
10,Grande Bretagne,4,13,2,19,Tokyo,1964
11,Bulgarie,3,5,2,10,Tokyo,1964
12,Finlande,3,0,2,5,Tokyo,1964
12,Nouvelle-Zélande,3,0,2,5,Tokyo,1964
14,Roumanie,2,4,6,12,Tokyo,1964
15,Pays-Bas,2,4,4,10,Tokyo,1964
16,Turquie,2,3,1,6,Tokyo,1964
17,Suède,2,2,4,8,Tokyo,1964
18,Danemark,2,1,3,6,Tokyo,1964
19,Yougoslavie,2,1,2,5,Tokyo,1964
20,Belgique,2,0,1,3,Tokyo,1964
21,France,1,7,5,13,Tokyo,1964
22,Canada,1,2,1,4,Tokyo,1964
22,Suisse,1,2,1,4,Tokyo,1964
24,Bahamas,1,0,0,1,Tokyo,1964
24,Ethiopie,1,0,0,1,Tokyo,1964
24,Inde,1,0,0,1,Tokyo,1964
27,Corée du Sud,0,2,1,3,Tokyo,1964
28,Trinité-et-Tobago,0,1,2,3,Tokyo,1964
29,Tunisie,0,1,1,2,Tokyo,1964
30,Argentine,0,1,0,1,Tokyo,1964
30,Cuba,0,1,0,1,Tokyo,1964
30,Pakistan,0,1,0,1,Tokyo,1964
30,Philippines,0,1,0,1,Tokyo,1964
34,Iran,0,0,2,2,Tokyo,1964
35,Brésil,0,0,1,1,Tokyo,1964
35,Ghana,0,0,1,1,Tokyo,1964
35,Irlande,0,0,1,1,Tokyo,1964
35,Kenya,0,0,1,1,Tokyo,1964
35,Mexique,0,0,1,1,Tokyo,1964
35,Nigéria,0,0,1,1,Tokyo,1964
35,Uruguay,0,0,1,1,Tokyo,1964
1,U.R.S.S.,43,29,31,103,Rome,1960
2,Etats Unis,34,21,16,71,Rome,1960
3,Italie,13,10,13,36,Rome,1960
4,Allemagne,12,19,11,42,Rome,1960
5,Australie,8,8,6,22,Rome,1960
6,Turquie,7,2,0,9,Rome,1960
7,Hongrie,6,8,7,21,Rome,1960
8,Japon,4,7,7,18,Rome,1960
9,Pologne,4,6,11,21,Rome,1960
10,Tchécoslovaquie,3,2,3,8,Rome,1960
11,Roumanie,3,1,6,10,Rome,1960
12,Grande Bretagne,2,6,12,20,Rome,1960
13,Danemark,2,3,1,6,Rome,1960
14,Nouvelle-Zélande,2,0,1,3,Rome,1960
15,Bulgarie,1,3,3,7,Rome,1960
16,Suède,1,2,3,6,Rome,1960
17,Finlande,1,1,3,5,Rome,1960
18,Autriche,1,1,0,2,Rome,1960
18,Yougoslavie,1,1,0,2,Rome,1960
20,Pakistan,1,0,1,2,Rome,1960
21,Ethiopie,1,0,0,1,Rome,1960
21,Grèce,1,0,0,1,Rome,1960
21,Norvège,1,0,0,1,Rome,1960
24,Suisse,0,3,3,6,Rome,1960
25,France,0,2,3,5,Rome,1960
26,Belgique,0,2,2,4,Rome,1960
27,Iran,0,1,3,4,Rome,1960
28,Afrique du Sud,0,1,2,3,Rome,1960
28,Pays-Bas,0,1,2,3,Rome,1960
30,Argentine,0,1,1,2,Rome,1960
30,Egypte,0,1,1,2,Rome,1960
32,Canada,0,1,0,1,Rome,1960
32,Ghana,0,1,0,1,Rome,1960
32,Inde,0,1,0,1,Rome,1960
32,Maroc,0,1,0,1,Rome,1960
32,Portugal,0,1,0,1,Rome,1960
32,Singapour,0,1,0,1,Rome,1960
32,Taïwan,0,1,0,1,Rome,1960
39,Brésil,0,0,2,2,Rome,1960
39,Indes Occidentales,0,0,2,2,Rome,1960
41,Espagne,0,0,1,1,Rome,1960
41,Irak,0,0,1,1,Rome,1960
41,Mexique,0,0,1,1,Rome,1960
41,Venezuela,0,0,1,1,Rome,1960
1,U.R.S.S.,37,29,32,98,Melbourne,1956
2,Etats Unis,33,25,17,75,Melbourne,1956
3,Australie,13,8,14,35,Melbourne,1956
4,Hongrie,9,10,7,26,Melbourne,1956
5,Italie,8,8,9,25,Melbourne,1956
6,Suède,8,5,6,19,Melbourne,1956
7,Allemagne,6,13,7,26,Melbourne,1956
8,Grande Bretagne,6,7,11,24,Melbourne,1956
9,Roumanie,5,3,5,13,Melbourne,1956
10,Japon,4,10,5,19,Melbourne,1956
11,France,4,4,6,14,Melbourne,1956
12,Turquie,3,2,2,7,Melbourne,1956
13,Finlande,3,1,11,15,Melbourne,1956
14,Iran,2,2,1,5,Melbourne,1956
15,Canada,2,1,3,6,Melbourne,1956
16,Nouvelle-Zélande,2,0,0,2,Melbourne,1956
17,Pologne,1,4,4,9,Melbourne,1956
18,Bulgarie,1,3,1,5,Melbourne,1956
19,Danemark,1,2,1,4,Melbourne,1956
20,Irlande,1,1,3,5,Melbourne,1956
21,Norvège,1,0,2,3,Melbourne,1956
22,Mexique,1,0,1,2,Melbourne,1956
23,Brésil,1,0,0,1,Melbourne,1956
23,Inde,1,0,0,1,Melbourne,1956
25,Tchécoslovaquie,0,4,1,5,Melbourne,1956
26,Yougoslavie,0,3,0,3,Melbourne,1956
27,Chili,0,2,2,4,Melbourne,1956
28,Belgique,0,2,0,2,Melbourne,1956
29,Argentine,0,1,1,2,Melbourne,1956
29,Corée du Sud,0,1,1,2,Melbourne,1956
31,Islande,0,1,0,1,Melbourne,1956
31,Pakistan,0,1,0,1,Melbourne,1956
33,Afrique du Sud,0,0,4,4,Melbourne,1956
34,Autriche,0,0,2,2,Melbourne,1956
35,Bahamas,0,0,1,1,Melbourne,1956
35,Grèce,0,0,1,1,Melbourne,1956
35,Suisse,0,0,1,1,Melbourne,1956
35,Uruguay,0,0,1,1,Melbourne,1956
1,Etats Unis,40,19,17,76,Helsinki,1952
2,U.R.S.S.,22,30,19,71,Helsinki,1952
3,Hongrie,16,10,16,42,Helsinki,1952
4,Suède,12,13,10,35,Helsinki,1952
5,Italie,8,9,4,21,Helsinki,1952
6,Tchécoslovaquie,7,3,3,13,Helsinki,1952
7,France,6,6,6,18,Helsinki,1952
8,Finlande,6,3,13,22,Helsinki,1952
9,Australie,6,2,3,11,Helsinki,1952
10,Norvège,3,2,0,5,Helsinki,1952
11,Suisse,2,6,6,14,Helsinki,1952
12,Afrique du Sud,2,4,4,10,Helsinki,1952
13,Jamaïque,2,3,0,5,Helsinki,1952
14,Belgique,2,2,0,4,Helsinki,1952
15,Danemark,2,1,3,6,Helsinki,1952
16,Turquie,2,0,1,3,Helsinki,1952
17,Japon,1,6,2,9,Helsinki,1952
18,Grande Bretagne,1,2,8,11,Helsinki,1952
19,Argentine,1,2,2,5,Helsinki,1952
20,Pologne,1,2,1,4,Helsinki,1952
21,Canada,1,2,0,3,Helsinki,1952
21,Yougoslavie,1,2,0,3,Helsinki,1952
23,Roumanie,1,1,2,4,Helsinki,1952
24,Brésil,1,0,2,3,Helsinki,1952
24,Nouvelle-Zélande,1,0,2,3,Helsinki,1952
26,Inde,1,0,1,2,Helsinki,1952
27,Luxembourg,1,0,0,1,Helsinki,1952
28,Allemagne,0,7,17,24,Helsinki,1952
29,Pays-Bas,0,5,0,5,Helsinki,1952
30,Iran,0,3,4,7,Helsinki,1952
31,Chili,0,2,0,2,Helsinki,1952
32,Autriche,0,1,1,2,Helsinki,1952
32,Liban,0,1,1,2,Helsinki,1952
34,Espagne,0,1,0,1,Helsinki,1952
34,Irlande,0,1,0,1,Helsinki,1952
34,Mexique,0,1,0,1,Helsinki,1952
37,Corée du Sud,0,0,2,2,Helsinki,1952
37,Trinité-et-Tobago,0,0,2,2,Helsinki,1952
37,Uruguay,0,0,2,2,Helsinki,1952
40,Bulgarie,0,0,1,1,Helsinki,1952
40,Egypte,0,0,1,1,Helsinki,1952
40,Portugal,0,0,1,1,Helsinki,1952
40,Venezuela,0,0,1,1,Helsinki,1952
1,Etats Unis,38,27,19,84,Londres,1948
2,Suède,16,11,17,44,Londres,1948
3,France,10,6,13,29,Londres,1948
4,Hongrie,10,5,12,27,Londres,1948
5,Italie,8,11,8,27,Londres,1948
6,Finlande,8,7,5,20,Londres,1948
7,Turquie,6,4,2,12,Londres,1948
8,Tchécoslovaquie,6,2,3,11,Londres,1948
9,Suisse,5,10,5,20,Londres,1948
10,Danemark,5,7,8,20,Londres,1948
11,Pays-Bas,5,2,9,16,Londres,1948
12,Grande Bretagne,3,14,6,23,Londres,1948
13,Argentine,3,3,1,7,Londres,1948
14,Australie,2,6,5,13,Londres,1948
15,Belgique,2,2,3,7,Londres,1948
16,Egypte,2,2,1,5,Londres,1948
17,Mexique,2,1,2,5,Londres,1948
18,Afrique du Sud,2,1,1,4,Londres,1948
19,Norvège,1,3,3,7,Londres,1948
20,Jamaïque,1,2,0,3,Londres,1948
21,Autriche,1,0,3,4,Londres,1948
22,Inde,1,0,0,1,Londres,1948
22,Pérou,1,0,0,1,Londres,1948
24,Yougoslavie,0,2,0,2,Londres,1948
25,Canada,0,1,2,3,Londres,1948
26,Portugal,0,1,1,2,Londres,1948
26,Uruguay,0,1,1,2,Londres,1948
28,Cuba,0,1,0,1,Londres,1948
28,Espagne,0,1,0,1,Londres,1948
28,Sri Lanka,0,1,0,1,Londres,1948
28,Trinité-et-Tobago,0,1,0,1,Londres,1948
32,Corée du Sud,0,0,2,2,Londres,1948
32,Panama,0,0,2,2,Londres,1948
34,Brésil,0,0,1,1,Londres,1948
34,Iran,0,0,1,1,Londres,1948
34,Pologne,0,0,1,1,Londres,1948
34,Porto Rico,0,0,1,1,Londres,1948
1,Allemagne,33,26,30,89,Berlin,1936
2,Etats Unis,24,20,12,56,Berlin,1936
3,Hongrie,10,1,5,16,Berlin,1936
4,Italie,8,9,5,22,Berlin,1936
5,Finlande,7,6,6,19,Berlin,1936
5,France,7,6,6,19,Berlin,1936
7,Suède,6,5,9,20,Berlin,1936
8,Japon,6,4,8,18,Berlin,1936
9,Pays-Bas,6,4,7,17,Berlin,1936
10,Grande Bretagne,4,7,3,14,Berlin,1936
11,Autriche,4,6,3,13,Berlin,1936
12,Tchécoslovaquie,3,5,0,8,Berlin,1936
13,Argentine,2,2,3,7,Berlin,1936
13,Estonie,2,2,3,7,Berlin,1936
15,Egypte,2,1,2,5,Berlin,1936
16,Suisse,1,9,5,15,Berlin,1936
17,Canada,1,3,5,9,Berlin,1936
18,Norvège,1,3,2,6,Berlin,1936
19,Turquie,1,0,1,2,Berlin,1936
20,Inde,1,0,0,1,Berlin,1936
20,Nouvelle-Zélande,1,0,0,1,Berlin,1936
22,Pologne,0,3,3,6,Berlin,1936
23,Danemark,0,2,3,5,Berlin,1936
24,Lettonie,0,1,1,2,Berlin,1936
25,Afrique du Sud,0,1,0,1,Berlin,1936
25,Roumanie,0,1,0,1,Berlin,1936
25,Yougoslavie,0,1,0,1,Berlin,1936
28,Mexique,0,0,3,3,Berlin,1936
29,Belgique,0,0,2,2,Berlin,1936
30,Australie,0,0,1,1,Berlin,1936
30,Philippines,0,0,1,1,Berlin,1936
30,Portugal,0,0,1,1,Berlin,1936
1,Etats Unis,41,32,29,102,Los Angeles,1932
2,Italie,13,11,12,36,Los Angeles,1932
3,France,9,6,4,19,Los Angeles,1932
4,Suède,9,5,9,23,Los Angeles,1932
5,Japon,7,7,4,18,Los Angeles,1932
6,Hongrie,6,4,5,15,Los Angeles,1932
7,Finlande,5,8,12,25,Los Angeles,1932
8,Grande Bretagne,4,7,5,16,Los Angeles,1932
9,Allemagne,3,12,5,20,Los Angeles,1932
10,Australie,3,1,1,5,Los Angeles,1932
11,Argentine,3,1,0,4,Los Angeles,1932
12,Canada,2,5,8,15,Los Angeles,1932
13,Pays-Bas,2,5,0,7,Los Angeles,1932
14,Pologne,2,1,4,7,Los Angeles,1932
15,Afrique du Sud,2,0,3,5,Los Angeles,1932
16,Irlande,2,0,0,2,Los Angeles,1932
17,Tchécoslovaquie,1,2,1,4,Los Angeles,1932
18,Autriche,1,1,3,5,Los Angeles,1932
19,Inde,1,0,0,1,Los Angeles,1932
20,Danemark,0,3,3,6,Los Angeles,1932
21,Mexique,0,2,0,2,Los Angeles,1932
22,Lettonie,0,1,0,1,Los Angeles,1932
22,Nouvelle-Zélande,0,1,0,1,Los Angeles,1932
22,Suisse,0,1,0,1,Los Angeles,1932
25,Philippines,0,0,3,3,Los Angeles,1932
26,Espagne,0,0,1,1,Los Angeles,1932
26,Portugal,0,0,1,1,Los Angeles,1932
26,Uruguay,0,0,1,1,Los Angeles,1932
1,Etats Unis,22,18,16,56,Amsterdam,1928
2,Allemagne,10,7,14,31,Amsterdam,1928
3,Finlande,8,8,9,25,Amsterdam,1928
4,Suède,7,6,12,25,Amsterdam,1928
5,Italie,7,5,7,19,Amsterdam,1928
6,Suisse,7,4,4,15,Amsterdam,1928
7,France,6,10,5,21,Amsterdam,1928
8,Pays-Bas,6,9,4,19,Amsterdam,1928
9,Hongrie,4,5,0,9,Amsterdam,1928
10,Canada,4,4,7,15,Amsterdam,1928
11,Grande Bretagne,3,10,7,20,Amsterdam,1928
12,Argentine,3,3,1,7,Amsterdam,1928
13,Danemark,3,1,2,6,Amsterdam,1928
14,Tchécoslovaquie,2,5,2,9,Amsterdam,1928
15,Japon,2,2,1,5,Amsterdam,1928
16,Estonie,2,1,2,5,Amsterdam,1928
17,Egypte,2,1,1,4,Amsterdam,1928
18,Autriche,2,0,1,3,Amsterdam,1928
19,Australie,1,2,1,4,Amsterdam,1928
19,Norvège,1,2,1,4,Amsterdam,1928
21,Pologne,1,1,3,5,Amsterdam,1928
21,Yougoslavie,1,1,3,5,Amsterdam,1928
23,Afrique du Sud,1,0,2,3,Amsterdam,1928
24,Espagne,1,0,0,1,Amsterdam,1928
24,Inde,1,0,0,1,Amsterdam,1928
24,Irlande,1,0,0,1,Amsterdam,1928
24,Nouvelle-Zélande,1,0,0,1,Amsterdam,1928
24,Uruguay,1,0,0,1,Amsterdam,1928
29,Belgique,0,1,2,3,Amsterdam,1928
30,Chili,0,1,0,1,Amsterdam,1928
30,Haïti,0,1,0,1,Amsterdam,1928
32,Philippines,0,0,1,1,Amsterdam,1928
32,Portugal,0,0,1,1,Amsterdam,1928
1,Etats Unis,45,27,27,99,Paris,1924
2,Finlande,14,13,10,37,Paris,1924
3,France,13,15,10,38,Paris,1924
4,Grande Bretagne,9,13,12,34,Paris,1924
5,Italie,8,3,5,16,Paris,1924
6,Suisse,7,8,10,25,Paris,1924
7,Norvège,5,2,3,10,Paris,1924
8,Suède,4,13,12,29,Paris,1924
9,Pays-Bas,4,1,5,10,Paris,1924
10,Belgique,3,7,3,13,Paris,1924
11,Australie,3,1,2,6,Paris,1924
12,Danemark,2,5,2,9,Paris,1924
13,Hongrie,2,3,4,9,Paris,1924
14,Yougoslavie,2,0,0,2,Paris,1924
15,Tchécoslovaquie,1,4,5,10,Paris,1924
16,Argentine,1,3,2,6,Paris,1924
17,Estonie,1,1,4,6,Paris,1924
18,Afrique du Sud,1,1,1,3,Paris,1924
19,Uruguay,1,0,0,1,Paris,1924
20,Autriche,0,3,1,4,Paris,1924
20,Canada,0,3,1,4,Paris,1924
22,Pologne,0,1,1,2,Paris,1924
23,Haïti,0,0,1,1,Paris,1924
23,Japon,0,0,1,1,Paris,1924
23,Nouvelle-Zélande,0,0,1,1,Paris,1924
23,Portugal,0,0,1,1,Paris,1924
23,Roumanie,0,0,1,1,Paris,1924
1,Etats Unis,41,27,27,95,Anvers,1920
2,Suède,19,21,24,64,Anvers,1920
3,Grande Bretagne,15,15,13,43,Anvers,1920
4,Finlande,15,10,9,34,Anvers,1920
5,Belgique,14,11,11,36,Anvers,1920
6,Norvège,13,9,9,31,Anvers,1920
7,Italie,13,5,5,23,Anvers,1920
8,France,9,19,13,41,Anvers,1920
9,Pays-Bas,4,2,5,11,Anvers,1920
10,Danemark,3,9,1,13,Anvers,1920
11,Afrique du Sud,3,4,3,10,Anvers,1920
12,Canada,3,3,3,9,Anvers,1920
13,Suisse,2,2,7,11,Anvers,1920
14,Estonie,1,2,0,3,Anvers,1920
15,Brésil,1,1,1,3,Anvers,1920
16,Australie,0,2,1,3,Anvers,1920
17,Espagne,0,2,0,2,Anvers,1920
17,Japon,0,2,0,2,Anvers,1920
19,Grèce,0,1,0,1,Anvers,1920
19,Luxembourg,0,1,0,1,Anvers,1920
21,Tchécoslovaquie,0,0,2,2,Anvers,1920
22,Nouvelle-Zélande,0,0,1,1,Anvers,1920
1,Etats Unis,25,18,20,63,Stockholm,1912
2,Suède,23,24,17,64,Stockholm,1912
3,Grande Bretagne,10,15,16,41,Stockholm,1912
4,Finlande,9,8,9,26,Stockholm,1912
5,France,7,4,3,14,Stockholm,1912
6,Allemagne,5,13,7,25,Stockholm,1912
7,Afrique du Sud,4,2,0,6,Stockholm,1912
8,Norvège,3,2,4,9,Stockholm,1912
9,Hongrie,3,2,3,8,Stockholm,1912
10,Canada,3,2,2,7,Stockholm,1912
11,Italie,3,1,2,6,Stockholm,1912
12,Australasie,2,2,2,6,Stockholm,1912
13,Belgique,2,1,3,6,Stockholm,1912
14,Danemark,1,6,5,12,Stockholm,1912
15,Grèce,1,0,1,2,Stockholm,1912
16,Russie,0,2,3,5,Stockholm,1912
17,Autriche,0,2,2,4,Stockholm,1912
18,Pays-Bas,0,0,3,3,Stockholm,1912
19,Nouvelle-Zélande,0,0,1,1,Stockholm,1912
1,Grande Bretagne,51,44,34,129,Londres,1908
2,Etats Unis,22,12,12,46,Londres,1908
3,Suède,8,6,11,25,Londres,1908
4,France,4,5,9,18,Londres,1908
5,Allemagne,3,5,5,13,Londres,1908
6,Hongrie,3,4,2,9,Londres,1908
7,Canada,2,3,10,15,Londres,1908
8,Norvège,2,3,3,8,Londres,1908
9,Italie,2,2,0,4,Londres,1908
10,Belgique,1,5,2,8,Londres,1908
11,Australasie,1,2,2,5,Londres,1908
12,Finlande,1,1,3,5,Londres,1908
13,Afrique du Sud,1,1,0,2,Londres,1908
14,Guyana,1,0,0,1,Londres,1908
15,Grèce,0,3,0,3,Londres,1908
16,Danemark,0,2,3,5,Londres,1908
17,Irlande,0,2,0,2,Londres,1908
17,Russie,0,2,0,2,Londres,1908
19,Bohême,0,0,2,2,Londres,1908
19,Pays-Bas,0,0,2,2,Londres,1908
21,Autriche,0,0,1,1,Londres,1908
1,France,15,9,16,40,Athènes,1906
2,Etats Unis,12,6,6,24,Athènes,1906
3,Grèce,8,14,12,34,Athènes,1906
4,Grande Bretagne,8,10,5,23,Athènes,1906
5,Italie,7,6,3,16,Athènes,1906
6,Suisse,5,6,4,15,Athènes,1906
7,Allemagne,4,6,5,15,Athènes,1906
8,Norvège,4,2,1,7,Athènes,1906
9,Autriche,3,3,2,8,Athènes,1906
10,Suède,2,5,7,14,Athènes,1906
11,Hongrie,2,5,3,10,Athènes,1906
12,Belgique,2,2,3,7,Athènes,1906
13,Danemark,2,2,1,5,Athènes,1906
14,Finlande,2,0,1,3,Athènes,1906
15,Canada,1,1,0,2,Athènes,1906
16,Australie,0,1,2,3,Athènes,1906
16,Pays-Bas,0,1,2,3,Athènes,1906
18,Bohême,0,0,2,2,Athènes,1906
19,Australasie,0,0,1,1,Athènes,1906
19,Empire Ottoman,0,0,1,1,Athènes,1906
1,Etats Unis,80,82,79,241,Saint Louis,1904
2,Allemagne,4,4,5,13,Saint Louis,1904
3,Cuba,4,0,0,4,Saint Louis,1904
4,Canada,3,1,0,4,Saint Louis,1904
5,Hongrie,2,1,1,4,Saint Louis,1904
6,Grande Bretagne,1,1,0,2,Saint Louis,1904
7,Grèce,1,0,1,2,Saint Louis,1904
7,Suisse,1,0,1,2,Saint Louis,1904
9,France,0,1,0,1,Saint Louis,1904
10,Autriche,0,0,1,1,Saint Louis,1904
1,France,25,38,32,95,Paris,1900
2,Etats Unis,19,15,15,49,Paris,1900
3,Grande Bretagne,16,5,9,30,Paris,1900
4,Suisse,6,2,1,9,Paris,1900
5,Belgique,5,5,5,15,Paris,1900
6,Allemagne,4,2,2,8,Paris,1900
7,Italie,2,2,0,4,Paris,1900
8,Australie,2,0,3,5,Paris,1900
9,Danemark,1,3,2,6,Paris,1900
10,Hongrie,1,2,2,5,Paris,1900
11,Pays-Bas,1,1,3,5,Paris,1900
12,Cuba,1,1,0,2,Paris,1900
12,International,1,1,0,2,Paris,1900
14,Canada,1,0,1,2,Paris,1900
15,Autriche,0,3,3,6,Paris,1900
16,Norvège,0,2,3,5,Paris,1900
17,Inde,0,2,0,2,Paris,1900
18,Bohême,0,1,2,3,Paris,1900
19,Mexique,0,0,1,1,Paris,1900
19,Suède,0,0,1,1,Paris,1900
1,Etats Unis,11,7,2,20,Athènes,1896
2,Grèce,10,18,19,47,Athènes,1896
3,Allemagne,7,5,2,14,Athènes,1896
4,France,5,4,2,11,Athènes,1896
5,Grande Bretagne,2,3,2,7,Athènes,1896
6,Hongrie,2,1,3,6,Athènes,1896
7,Autriche,2,1,2,5,Athènes,1896
8,Australie,2,0,1,3,Athènes,1896
9,Danemark,1,2,3,6,Athènes,1896
10,Suisse,1,2,0,3,Athènes,1896
